family,strategy,top_k,triple_intersection,triple_union,triple_jaccard,cat_attr_jaccard,cat_rel_jaccard,attr_rel_jaccard,cat_attr_restricted_cos,cat_rel_restricted_cos,attr_rel_restricted_cos
pca_remove3,norm,16,7,27,0.25925925925925924,0.3333333333333333,0.45454545454545453,0.45454545454545453,0.07285509140944645,0.00474010411369432,0.6227841866576742
pca_remove5,norm,16,7,27,0.25925925925925924,0.3333333333333333,0.45454545454545453,0.45454545454545453,0.07285509140944645,0.00474010411369432,0.6227841866576742
raw,specificity_cos,16,7,26,0.2692307692307692,0.6842105263157895,0.3333333333333333,0.3333333333333333,0.7484042528595671,0.542077588279149,0.6727282205147698
contrast_l0p5,norm,16,8,26,0.3076923076923077,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.47947371139204725,0.023819220053825255,0.21459001089516838
contrast_l0p25,norm,16,8,24,0.3333333333333333,0.6,0.45454545454545453,0.45454545454545453,0.7616899250245712,0.5190967618444842,0.6468409428802488
pca_remove3,contrast_norm,16,9,23,0.391304347826087,0.6,0.6,0.45454545454545453,-0.022761901897687863,-0.1093307791153261,0.5976167771858506
pca_remove5,contrast_norm,16,9,23,0.391304347826087,0.6,0.6,0.45454545454545453,-0.022761901897687863,-0.1093307791153261,0.5976167771858506
global_residual,contrast_norm,16,9,22,0.4090909090909091,0.6,0.6842105263157895,0.45454545454545453,-0.2717947748530514,-0.7474460103689698,-0.48347758407996233
global_residual,norm,16,9,22,0.4090909090909091,0.6,0.6842105263157895,0.45454545454545453,-0.2717947748530514,-0.7474460103689698,-0.48347758407996233
pca_remove1,contrast_norm,16,9,22,0.4090909090909091,0.6,0.6842105263157895,0.45454545454545453,-0.32256855044554145,-0.742073091709498,-0.4510860364044128
pca_remove1,norm,16,9,22,0.4090909090909091,0.6,0.6842105263157895,0.45454545454545453,-0.32256855044554145,-0.742073091709498,-0.4510860364044128
raw,norm,16,9,22,0.4090909090909091,0.6,0.45454545454545453,0.6842105263157895,0.8985561641479012,0.7725017819603184,0.8409329770704146
contrast_l0p25,contrast_norm,16,10,23,0.43478260869565216,0.6,0.6,0.5238095238095238,0.5969669117224706,0.2789453783538692,0.4663579712822946
contrast_l0p5,contrast_norm,16,10,23,0.43478260869565216,0.6,0.6,0.5238095238095238,0.3038375330500098,-0.1771599345423537,0.09078676452531177
contrast_l0p75,contrast_norm,16,10,23,0.43478260869565216,0.6,0.6,0.5238095238095238,-0.060885910704685756,-0.6137797644112586,-0.3231618609657165
contrast_l1,contrast_norm,16,10,23,0.43478260869565216,0.6,0.6,0.5238095238095238,-0.2793979681195156,-0.7519592897796122,-0.5011409557711959
contrast_l1,norm,16,10,23,0.43478260869565216,0.6,0.6,0.5238095238095238,-0.2793979681195156,-0.7519592897796122,-0.5011409557711959
raw,contrast_norm,16,10,23,0.43478260869565216,0.6,0.6,0.5238095238095238,0.7763886682681799,0.5932082165792946,0.706212567782999
pca_remove2,contrast_norm,16,15,17,0.8823529411764706,1.0,0.8823529411764706,0.8823529411764706,-0.9999998013026006,0.9999997180296892,-0.9999995098495041
pca_remove2,norm,16,15,17,0.8823529411764706,1.0,0.8823529411764706,0.8823529411764706,-0.9999998013026006,0.9999997180296892,-0.9999995098495041
contrast_l0p25,random,16,16,16,1.0,1.0,1.0,1.0,0.8644519991379778,0.7204319333945096,0.7187637489693198
contrast_l0p25,shared,16,16,16,1.0,1.0,1.0,1.0,0.7762705009120415,0.5332420415772139,0.6690143338336604
contrast_l0p5,random,16,16,16,1.0,1.0,1.0,1.0,0.7021562401216468,0.39132899389590114,0.3716315090412051
contrast_l0p5,shared,16,16,16,1.0,1.0,1.0,1.0,0.4425737550846091,-0.06908079995667403,0.19246591358178147
contrast_l0p75,random,16,16,16,1.0,1.0,1.0,1.0,0.3173904039760418,-0.2361973674041355,-0.28796219315974125
contrast_l0p75,shared,16,16,16,1.0,1.0,1.0,1.0,-0.042631824997724777,-0.6007797797071389,-0.2800968556478412
contrast_l1,random,16,16,16,1.0,1.0,1.0,1.0,-0.1727891032818935,-0.684518748705061,-0.5997529163224726
contrast_l1,shared,16,16,16,1.0,1.0,1.0,1.0,-0.2618690517529814,-0.7354947804240287,-0.4612835254179397
global_residual,random,16,16,16,1.0,1.0,1.0,1.0,-0.18417371126264084,-0.6711303783505697,-0.6050533904566424
global_residual,shared,16,16,16,1.0,1.0,1.0,1.0,-0.2673886151133407,-0.7351124876050464,-0.4566995219389575
headnorm_contrast_l0p25,random,16,16,16,1.0,1.0,1.0,1.0,0.841299130877188,0.6598289581227588,0.7133084267378371
headnorm_contrast_l0p25,shared,16,16,16,1.0,1.0,1.0,1.0,0.4243952013018801,0.006049758754307582,0.044307018075317645
headnorm_contrast_l0p5,random,16,16,16,1.0,1.0,1.0,1.0,0.6523269716557789,0.2972223641703809,0.39825827503457767
